query_id,arm,ndcg@10,recall@5,recall@10,recall@100,mrr@10
11039,rrf_rerank,0.000000,0.000000,0.000000,0.625000,0.000000
11054,bm25,1.000000,1.000000,1.000000,1.000000,1.000000
11054,dense,1.000000,1.000000,1.000000,1.000000,1.000000
11054,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
11054,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
11088,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
11088,dense,1.000000,1.000000,1.000000,1.000000,1.000000
11088,rrf,0.500000,1.000000,1.000000,1.000000,0.333333
11088,rrf_rerank,0.386853,1.000000,1.000000,1.000000,0.200000
1150,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1150,dense,0.000000,0.000000,0.000000,0.500000,0.000000
1150,rrf,0.000000,0.000000,0.000000,0.250000,0.000000
1150,rrf_rerank,0.000000,0.000000,0.000000,0.250000,0.000000
1157,bm25,0.386853,0.500000,0.500000,0.500000,0.500000
1157,dense,0.386853,0.500000,0.500000,0.500000,0.500000
1157,rrf,0.613147,0.500000,0.500000,0.500000,1.000000
1157,rrf_rerank,0.613147,0.500000,0.500000,0.500000,1.000000
1159,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1159,dense,0.000000,0.000000,0.000000,0.000000,0.000000
1159,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
1159,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
1198,bm25,1.000000,1.000000,1.000000,1.000000,1.000000
1198,dense,1.000000,1.000000,1.000000,1.000000,1.000000
1198,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1198,rrf_rerank,0.630930,1.000000,1.000000,1.000000,0.500000
1230,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1230,dense,0.500000,1.000000,1.000000,1.000000,0.333333
1230,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
1230,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
1281,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
1281,dense,1.000000,1.000000,1.000000,1.000000,1.000000
1281,rrf,0.315465,0.000000,1.000000,1.000000,0.125000
1281,rrf_rerank,0.430677,1.000000,1.000000,1.000000,0.250000
1284,bm25,1.000000,1.000000,1.000000,1.000000,1.000000
1284,dense,0.630930,1.000000,1.000000,1.000000,0.500000
1284,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1284,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1297,bm25,0.301030,0.000000,1.000000,1.000000,0.111111
1297,dense,0.630930,1.000000,1.000000,1.000000,0.500000
1297,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1297,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1306,bm25,0.529436,0.250000,0.500000,0.500000,1.000000
1306,dense,0.000000,0.000000,0.000000,0.250000,0.000000
1306,rrf,0.390380,0.250000,0.250000,0.500000,1.000000
1306,rrf_rerank,0.390380,0.250000,0.250000,0.500000,1.000000
1309,bm25,0.230361,0.000000,0.500000,0.500000,0.111111
1309,dense,0.787702,0.750000,0.750000,0.750000,1.000000
1309,rrf,0.636682,0.500000,0.500000,0.750000,1.000000
1309,rrf_rerank,0.319147,0.500000,0.500000,0.750000,0.250000
1310,bm25,1.000000,1.000000,1.000000,1.000000,1.000000
1310,dense,0.315465,0.000000,1.000000,1.000000,0.125000
1310,rrf,0.500000,1.000000,1.000000,1.000000,0.333333
1310,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1321,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1321,dense,0.000000,0.000000,0.000000,0.500000,0.000000
1321,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
1321,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
1322,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1322,dense,0.390380,0.250000,0.250000,0.250000,1.000000
1322,rrf,0.123151,0.000000,0.250000,0.250000,0.125000
1322,rrf_rerank,0.139056,0.000000,0.250000,0.250000,0.166667
1391,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1391,dense,0.141267,0.000000,0.333333,0.666667,0.111111
1391,rrf,0.000000,0.000000,0.000000,0.666667,0.000000
1391,rrf_rerank,0.234639,0.333333,0.333333,0.666667,0.333333
1393,bm25,0.087472,0.000000,0.166667,0.500000,0.100000
1393,dense,0.493523,0.333333,0.333333,0.666667,1.000000
1393,rrf,0.190921,0.166667,0.166667,0.666667,0.500000
1393,rrf_rerank,0.281625,0.333333,0.333333,0.666667,0.333333
1415,bm25,1.000000,1.000000,1.000000,1.000000,1.000000
1415,dense,0.970929,0.750000,1.000000,1.000000,1.000000
1415,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1415,rrf_rerank,0.970929,0.750000,1.000000,1.000000,1.000000
1416,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
1416,dense,0.000000,0.000000,0.000000,1.000000,0.000000
1416,rrf,0.000000,0.000000,0.000000,1.000000,0.000000
1416,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
1441,bm25,0.943866,0.750000,1.000000,1.000000,1.000000
1441,dense,1.000000,1.000000,1.000000,1.000000,1.000000
1441,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1441,rrf_rerank,0.910853,0.750000,1.000000,1.000000,1.000000
1451,bm25,0.500000,1.000000,1.000000,1.000000,0.333333
1451,dense,1.000000,1.000000,1.000000,1.000000,1.000000
1451,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1451,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1469,bm25,0.630930,1.000000,1.000000,1.000000,0.500000
1469,dense,0.630930,1.000000,1.000000,1.000000,0.500000
1469,rrf,1.000000,1.000000,1.000000,1.000000,1.000000
1469,rrf_rerank,0.630930,1.000000,1.000000,1.000000,0.500000
15,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
15,dense,1.000000,1.000000,1.000000,1.000000,1.000000
15,rrf,0.500000,1.000000,1.000000,1.000000,0.333333
15,rrf_rerank,1.000000,1.000000,1.000000,1.000000,1.000000
1530,bm25,0.000000,0.000000,0.000000,0.666667,0.000000
1530,dense,0.671988,0.666667,1.000000,1.000000,0.500000
1530,rrf,0.477624,0.666667,0.666667,1.000000,0.500000
1530,rrf_rerank,0.530721,0.666667,0.666667,1.000000,0.500000
1670,bm25,0.765361,0.666667,0.666667,0.666667,1.000000
1670,dense,0.765361,0.666667,0.666667,0.666667,1.000000
1670,rrf,0.765361,0.666667,0.666667,0.666667,1.000000
1670,rrf_rerank,0.765361,0.666667,0.666667,0.666667,1.000000
1676,bm25,0.585570,0.500000,0.500000,1.000000,1.000000
1676,dense,0.654245,0.500000,0.750000,1.000000,1.000000
1676,rrf,0.703086,0.500000,0.750000,1.000000,1.000000
1676,rrf_rerank,0.697564,0.500000,0.750000,1.000000,1.000000
1736,bm25,0.508740,0.400000,0.400000,0.400000,1.000000
1736,dense,0.213986,0.200000,0.200000,0.600000,0.500000
1736,rrf,0.485229,0.400000,0.400000,0.600000,1.000000
1736,rrf_rerank,0.485229,0.400000,0.400000,0.600000,1.000000
1748,bm25,0.234639,0.333333,0.333333,0.666667,0.333333
1748,dense,0.671386,0.666667,0.666667,1.000000,1.000000
1748,rrf,0.703918,0.666667,0.666667,1.000000,1.000000
1748,rrf_rerank,0.610546,0.333333,0.666667,1.000000,1.000000
1783,bm25,0.000000,0.000000,0.000000,0.000000,0.000000
1783,dense,0.000000,0.000000,0.000000,0.000000,0.000000
1783,rrf,0.000000,0.000000,0.000000,0.000000,0.000000
1783,rrf_rerank,0.000000,0.000000,0.000000,0.000000,0.000000
18,bm25,0.000000,0.000000,0.000000,1.000000,0.000000
18,dense,1.000000,1.000000,1.000000,1.000000,1.000000
18,rrf,0.430677,1.000000,1.000000,1.000000,0.250000
18,rrf_rerank,0.000000,0.000000,0.000000,1.000000,0.000000
1812,bm25,0.613147,0.500000,0.500000,0.500000,1.000000
